date,open,high,low,close,vol
2024-04-24,165.04,167.77,164.71,167.5,48251800
2024-04-25,168.0,169.07,166.63,168.36,50558300
2024-04-26,168.35,169.79,167.65,167.77,44838400
2024-04-29,171.81,174.44,171.54,171.94,68169400
2024-04-30,171.77,173.41,168.47,168.79,65934800
2024-05-01,168.05,171.15,167.58,167.77,50383100
2024-05-02,170.95,171.86,169.35,171.47,94214900
2024-05-03,184.97,185.31,181.01,181.73,163224100
2024-05-06,180.71,182.54,178.79,180.07,78569700
2024-05-07,181.8,183.23,179.68,180.75,77305800
2024-05-08,181.2,181.42,179.81,181.09,45057100
2024-05-09,180.91,182.99,180.47,182.91,48983000
2024-05-10,183.48,183.67,180.73,181.65,50759500
2024-05-13,184.02,185.66,183.2,184.85,72044800
2024-05-14,186.07,186.85,184.86,185.99,52393600
2024-05-15,186.47,189.19,185.93,188.26,70400000
2024-05-16,189.01,189.63,188.2,188.38,52845200
2024-05-17,188.06,189.35,187.73,188.41,41282900
2024-05-20,187.88,190.45,187.56,189.57,44361300
2024-05-21,189.62,191.25,189.45,190.87,42309400
2024-05-22,190.79,191.34,188.81,189.43,34648500
2024-05-23,189.34,189.36,185.03,185.28,51005900
2024-05-24,187.2,188.94,186.43,188.35,36327000
2024-05-28,189.87,191.34,187.48,188.36,52280100
2024-05-29,187.98,190.6,187.88,188.66,53068000
2024-05-30,189.12,190.53,188.99,189.65,49889100
2024-05-31,189.8,190.92,188.28,190.6,75158300
2024-06-03,191.24,193.32,190.87,192.36,50080500
2024-06-04,192.97,193.64,191.37,192.68,47471400
2024-06-05,193.72,195.21,193.2,194.19,54156800
2024-06-06,194.01,194.81,192.5,192.81,41181800
2024-06-07,192.98,195.25,192.47,195.2,53103900
2024-06-10,195.21,195.61,190.5,191.46,97010200
2024-06-11,191.99,205.38,191.97,205.37,172373300
2024-06-12,205.59,218.31,205.12,211.24,198134300
2024-06-13,212.9,214.89,209.78,212.4,97862700
2024-06-14,212.01,213.32,209.49,210.67,70122700
2024-06-17,211.54,217.07,210.89,214.81,93728300
2024-06-18,215.72,216.75,211.17,212.45,79943300
2024-06-20,212.09,212.4,207.06,207.88,86172500
2024-06-21,208.58,210.07,205.33,205.71,241805100
2024-06-24,205.94,210.87,204.82,206.35,80727000
2024-06-25,207.35,209.56,206.82,207.27,55549700
2024-06-26,209.68,213.01,208.83,211.42,66213200
2024-06-27,212.85,213.89,210.53,212.26,49772700
2024-06-28,213.92,214.21,208.49,208.81,82542700
2024-07-01,210.27,215.64,210.1,214.89,60402900
2024-07-02,214.29,218.49,213.25,218.38,58046200
2024-07-03,218.11,219.65,217.15,219.65,37369800
2024-07-05,219.75,224.51,219.75,224.4,60412400
2024-07-08,225.14,225.89,221.33,225.86,59085900
2024-07-09,225.97,227.43,224.43,226.72,48076100
2024-07-10,227.33,231.08,227.28,230.98,62627700
2024-07-11,229.4,230.39,223.83,225.62,64710600
2024-07-12,226.95,230.64,226.72,228.56,53046500
2024-07-15,234.45,235.19,231.09,232.39,62631300
2024-07-16,232.98,234.24,230.33,232.8,43234300
2024-07-17,227.48,229.47,224.69,226.91,57345900
2024-07-18,228.3,228.46,220.36,222.25,66034600
2024-07-19,222.89,224.85,221.36,222.38,49151500
2024-07-22,225.06,225.82,221.17,222.04,48201800
2024-07-23,222.44,224.99,220.77,223.08,39960300
2024-07-24,222.08,222.87,215.27,216.66,61777600
2024-07-25,217.05,218.95,212.78,215.62,51391200
2024-07-26,216.82,217.61,214.15,216.09,41601300
2024-07-29,215.1,217.42,213.9,216.37,36311800
2024-07-30,217.31,218.44,214.26,216.92,41643800
2024-07-31,219.54,221.9,218.74,220.17,50036300
2024-08-01,222.44,222.55,215.16,216.48,62501000
2024-08-02,217.27,223.66,215.84,217.97,105568600
2024-08-05,197.38,211.67,194.32,207.47,119548600
2024-08-06,203.54,208.19,199.34,205.45,69660500
2024-08-07,205.12,211.81,204.62,208.02,63516400
2024-08-08,211.28,212.36,207.04,211.48,47161100
2024-08-09,210.28,214.92,210.15,214.38,42201600
2024-08-12,214.46,217.88,214.0,215.91,38028100
2024-08-13,217.38,220.24,217.38,219.62,44155300
2024-08-14,218.93,221.37,218.07,220.07,41960600
2024-08-15,222.93,223.67,221.1,223.05,46414000
2024-08-16,222.25,225.14,221.99,224.37,44340200
2024-08-19,224.04,224.31,221.38,224.21,40687800
2024-08-20,224.09,225.48,223.77,224.82,30299000
2024-08-21,224.83,226.28,223.38,224.72,34765500
2024-08-22,226.1,226.64,222.23,222.86,43695300
2024-08-23,223.98,226.52,222.66,225.15,38677300
2024-08-26,225.07,225.59,222.22,225.49,30602200
2024-08-27,224.32,227.15,223.22,226.33,35934600
2024-08-28,226.22,228.15,224.0,224.8,38052200
2024-08-29,228.39,231.19,227.18,228.08,51906300
2024-08-30,228.48,228.69,225.79,227.3,52990800
2024-09-03,226.85,227.3,219.52,221.11,50190600
2024-09-04,220.01,220.13,215.86,219.21,43840200
2024-09-05,219.98,223.8,219.87,220.73,36615400
2024-09-06,222.28,223.56,218.13,219.18,48423000
2024-09-09,219.18,219.62,215.1,219.27,67180000
2024-09-10,217.29,219.83,215.12,218.47,51591000
2024-09-11,219.81,221.43,216.27,221.0,44587100
2024-09-12,220.84,221.89,218.18,221.11,37455600
2024-09-13,221.92,222.37,220.26,220.84,36766600
2024-09-16,214.93,215.6,212.33,214.71,59357400
2024-09-17,214.14,215.29,212.9,215.18,45519300
2024-09-18,215.93,221.05,215.92,219.05,59894900
2024-09-19,223.32,228.11,222.96,227.17,66781300
2024-09-20,228.26,231.36,225.93,226.5,318679900
2024-09-23,225.65,227.74,224.13,224.78,54146000
2024-09-24,226.95,227.64,224.05,225.68,43556100
2024-09-25,223.26,225.6,222.35,224.69,42308700
2024-09-26,225.61,226.8,223.73,225.83,36636700
2024-09-27,226.76,227.81,225.61,226.1,34026000
2024-09-30,228.33,231.27,227.94,231.27,54541900
2024-10-01,227.81,227.94,222.08,224.53,63285000
2024-10-02,224.21,225.68,221.36,225.09,32880600
2024-10-03,223.46,225.12,221.66,223.99,34044200
2024-10-04,226.2,226.3,222.46,225.11,37245100
2024-10-07,222.83,224.01,219.68,220.04,39505400
2024-10-08,222.63,224.3,221.59,224.09,31855700
2024-10-09,223.55,228.04,223.16,227.83,33591100
2024-10-10,226.09,227.79,225.48,227.34,28183500
2024-10-11,227.59,227.7,225.65,225.86,31759200
2024-10-14,227.0,230.01,226.9,229.58,39882100
2024-10-15,231.87,235.72,230.64,232.11,64751400
2024-10-16,229.88,230.39,228.13,230.06,34082200
2024-10-17,231.69,232.11,228.8,230.42,32993800
2024-10-18,234.42,234.42,232.27,233.25,46431500
2024-10-21,232.71,235.09,232.71,234.72,36254500
2024-10-22,232.15,234.46,230.87,234.11,38846600
2024-10-23,232.34,233.39,226.07,229.04,52287000
2024-10-24,228.27,229.1,226.71,228.85,31109500
2024-10-25,228.03,231.48,227.86,229.69,38802300
2024-10-28,231.58,232.98,230.82,231.66,36087100
2024-10-29,231.37,232.59,230.59,231.93,35417200
2024-10-30,230.88,231.73,227.84,228.39,47070900
2024-10-31,227.63,228.12,223.69,224.23,64370100
2024-11-01,219.33,223.67,218.63,221.25,65276700
2024-11-04,219.35,221.13,218.08,220.36,44944500
2024-11-05,220.15,222.28,219.49,221.79,28111300
2024-11-06,220.95,224.39,219.54,221.06,54561100
2024-11-07,222.96,226.18,222.9,225.79,42137700
2024-11-08,225.73,227.21,224.97,225.52,38328800
2024-11-11,223.57,224.27,220.09,222.81,42005600
2024-11-12,223.12,224.16,221.94,222.81,40398300
2024-11-13,222.59,225.21,221.35,223.69,48566200
2024-11-14,223.59,227.42,223.57,226.77,44923900
2024-11-15,224.96,225.48,222.85,223.57,47923700
2024-11-18,223.82,228.28,223.74,226.57,44633700
2024-11-19,225.54,228.7,225.22,226.83,36211800
2024-11-20,226.61,228.47,224.46,227.55,35169600
2024-11-21,227.43,228.7,224.28,227.07,42108300
2024-11-22,226.61,229.26,226.61,228.41,38168300
2024-11-25,229.99,231.77,228.28,231.39,90152800
2024-11-26,231.85,234.07,231.85,233.57,45986200
2024-11-27,232.98,234.19,232.33,233.44,33498400
2024-11-29,233.32,236.3,232.48,235.82,28481400
2024-12-02,235.76,239.26,235.65,238.07,48137100
2024-12-03,238.29,241.22,237.38,241.11,38861000
2024-12-04,241.33,242.56,239.72,241.47,44383900
2024-12-05,242.44,242.99,240.59,241.5,40033900
2024-12-06,241.37,243.08,240.54,241.3,36870600
2024-12-09,240.29,245.67,240.22,245.18,44649200
2024-12-10,245.32,246.63,243.78,246.2,36914800
2024-12-11,246.39,249.21,244.7,244.93,45205800
2024-12-12,245.32,247.16,244.12,246.39,32777500
2024-12-13,246.25,247.71,244.68,246.55,33155300
2024-12-16,246.42,249.78,246.08,249.45,51694800
2024-12-17,248.49,252.22,248.19,251.87,51356400
2024-12-18,250.56,252.67,246.17,246.48,56774100
2024-12-19,245.93,250.4,245.52,248.2,60882300
2024-12-20,246.47,253.38,244.13,252.87,147495300
2024-12-23,253.15,254.03,251.84,253.65,40858800
2024-12-24,253.87,256.57,253.67,256.56,23234700
2024-12-26,256.55,258.45,255.99,257.38,27237100
2024-12-27,256.19,257.06,251.45,253.97,42355300
2024-12-30,250.63,251.89,249.16,250.6,35557500
2024-12-31,250.84,251.67,247.85,248.83,39480700
2025-01-02,247.35,247.52,240.28,242.3,55740700
2025-01-03,241.82,242.63,240.35,241.82,40244100
2025-01-06,242.76,245.76,241.66,243.44,45045600
2025-01-07,241.44,243.99,239.82,240.67,40856000
2025-01-08,240.38,242.16,238.53,241.16,37628900
2025-01-10,238.49,238.64,231.52,235.35,61710900
2025-01-13,232.05,233.18,228.26,232.91,49630700
2025-01-14,233.26,234.62,230.99,231.8,39435300
2025-01-15,233.15,237.44,232.94,236.36,39832000
2025-01-16,235.84,236.5,226.58,226.81,71759100
2025-01-17,230.65,230.82,227.03,228.52,68488300
2025-01-21,222.58,223.0,217.99,221.23,98070400
2025-01-22,218.39,222.7,218.39,222.41,64126500
2025-01-23,223.31,225.59,220.89,222.24,60234800
2025-01-24,223.35,224.2,220.0,221.37,54697900
2025-01-27,222.6,230.68,222.56,228.4,94863400
2025-01-28,229.38,238.67,229.34,236.75,75707600
2025-01-29,232.63,238.34,232.52,237.84,45486100
2025-01-30,237.15,239.26,235.7,236.08,55658300
2025-01-31,245.62,245.62,231.96,234.5,100959800
2025-02-03,228.53,230.36,224.27,226.56,73063300
2025-02-04,225.81,231.65,225.21,231.32,45067300
2025-02-05,227.08,231.19,226.82,230.99,39620300
2025-02-06,229.82,232.32,228.97,231.74,29925300
2025-02-07,231.12,232.51,225.82,226.18,39707200
2025-02-10,228.36,229.38,226.01,226.45,33115600
2025-02-11,227.0,233.99,226.93,231.4,53718400
2025-02-12,229.98,235.71,229.47,235.62,45243300
2025-02-13,235.66,241.07,234.33,240.26,53614100
2025-02-14,239.98,244.26,239.72,243.31,40896200
2025-02-18,242.87,243.89,240.57,243.19,48822500
2025-02-19,243.37,244.72,241.88,243.58,32204200
2025-02-20,243.65,245.48,243.01,244.54,32316900
2025-02-21,244.66,247.38,243.93,244.26,53197400
2025-02-24,243.64,247.55,243.14,245.8,51326400
2025-02-25,246.7,248.69,243.62,245.74,48013300
2025-02-26,243.05,243.69,237.87,239.1,44433600
2025-02-27,238.15,241.19,235.81,236.05,41153600
2025-02-28,235.7,240.82,228.99,240.57,56833400
2025-03-03,240.52,242.75,234.87,236.78,47184000
2025-03-04,236.46,238.81,233.45,234.69,53798100
2025-03-05,234.18,235.31,228.03,234.5,47227600
2025-03-06,233.21,236.61,231.93,234.09,45170400
2025-03-07,233.87,240.1,233.53,237.81,46273600
2025-03-10,234.3,234.92,223.04,226.28,72071200
2025-03-11,222.63,224.65,216.31,219.68,76137400
2025-03-12,218.98,220.58,213.78,215.84,62547500
2025-03-13,214.81,215.7,207.32,208.58,61368300
2025-03-14,210.14,212.83,208.48,212.37,60107600
2025-03-17,212.19,214.09,208.87,212.88,48073400
2025-03-18,213.03,214.02,210.38,211.57,42432400
2025-03-19,213.09,217.61,212.63,214.11,54385400
2025-03-20,212.87,216.35,211.1,212.97,48862900
2025-03-21,210.45,217.69,210.17,217.12,94127800
2025-03-24,219.84,220.32,217.43,219.57,44299500
2025-03-25,219.61,222.92,218.92,222.57,34493600
2025-03-26,222.34,223.84,219.31,220.37,34466100
2025-03-27,220.23,223.81,219.4,222.67,37094800
2025-03-28,220.5,222.63,216.54,216.75,39818600
2025-03-31,215.87,224.43,215.09,220.96,65299300
